<NUMBER OF ZONES> 1698
<NUMBER OF NODES> 7926
<FIRST THRU NODE> 0
<NUMBER OF LINKS> 21194
<MINIMUM_NODE_ID> 0
<TRIP_FORMAT> 1
<COST_FUN_TYPE> 1
<END OF METADATA>

~origin    dest    capacity    length    fft    alpha    beta    speed_limit    toll    FTYPE    ATYPE    AMLANE    slope    fld    slr    tpa    bri
95    2283    22050.0    0.15    0.53    2000    1.00    99    0.00    0    1    7   0.01   9999   9999   0   0.000000;
96    2284    22050.0    0.08    0.28    2000    1.00    99    0.00    0    1    7   0.01   9999   9999   0   0.000000;
96    2285    22050.0    0.13    0.46    2000    1.00    99    0.00    0    1    7   -0.00   9999   9999   0   0.000000;
96    2390    22050.0    0.17    0.60    2000    1.00    99    0.00    0    1    7   -0.01   9999   9999   0   0.000000;
96    2393    22050.0    0.22    0.78    2000    1.00    99    0.00    0    1    7   -0.01   9999   9999   0   0.000000;
96    2419    22050.0    0.21    0.74    2000    1.00    99    0.00    0    1    7   -0.00   9999   9999   0   0.000000;
97    2240    22050.0    0.15    0.53    2000    1.00    99    0.00    0    1    7   0.01   9999   9999   0   0.000000;
97    2389    22050.0    0.13    0.46    2000    1.00    99    0.00    0    1    7   -0.01   9999   9999   0   0.000000;
97    2391    22050.0    0.09    0.32    2000    1.00    99    0.00    0    1    7   -0.01   9999   9999   0   0.000000;
97    2392    22050.0    0.18    0.64    2000    1.00    99    0.00    0    1    7   0.00   9999   9999   0   0.000000;
98    2286    22050.0    0.14    0.49    2000    1.00    99    0.00    0    1    7   -0.00   9999   9999   0   0.000000;
98    2351    22050.0    0.08    0.28    2000    1.00    99    0.00    0    1    7   0.03   9999   9999   0   0.000000;
98    2393    22050.0    0.09    0.32    2000    1.00    99    0.00    0    1    7   -0.02   9999   9999   0   0.000000;
99    1898    22050.0    0.25    0.88    2000    1.00    99    0.00    0    1    7   0.02   9999   9999   0   0.000000;
99    1899    22050.0    0.09    0.32    2000    1.00    99    0.00    0    1    7   -0.02   9999   9999   0   0.000000;
99    1900    22050.0    0.22    0.78    2000    1.00    99    0.00    0    1    7   0.04   9999   9999   0   0.000000;
99    2286    22050.0    0.33    1.16    2000    1.00    99    0.00    0    1    7   -0.00   9999   9999   0   0.000000;
99    2372    22050.0    0.27    0.95    2000    1.00    99    0.00    0    1    7   -0.00   9999   9999   0   0.000000;
100    2076    22050.0    0.10    0.35    15    1.04    99    0.00    0    2    7   0.00   9999   9999   0   0.000000;
101    1896    22050.0    0.47    1.66    15    1.04    99    0.00    0    2    7   -0.01   9999   9999   0   0.000000;
101    1903    22050.0    0.25    0.88    15    1.04    99    0.00    0    2    7   0.03   9999   9999   0   0.000000;
102    2073    22050.0    0.44    1.15    7    1.08    99    0.00    0    3    7   0.02   9999   9999   0   881.685000;
102    2287    22050.0    0.63    1.64    7    1.08    99    0.00    0    3    7   0.01   9999   9999   0   0.000000;
103    2292    22050.0    0.09    0.32    2000    1.00    99    0.00    0    1    7   -0.01   9999   9999   0   0.000000;
104    2292    22050.0    0.29    1.02    15    1.04    99    0.00    0    2    7   -0.01   9999   9999   0   0.000000;
105    1914    22050.0    0.16    0.56    15    1.04    99    0.00    0    2    7   -0.00   9999   9999   0   0.000000;
105    2290    22050.0    0.32    1.13    15    1.04    99    0.00    0    2    7   0.01   9999   9999   0   0.000000;
105    2291    22050.0    0.35    1.24    15    1.04    99    0.00    0    2    7   0.00   9999   9999   0   0.000000;
106    1950    22050.0    0.45    1.59    2000    1.00    99    0.00    0    1    7   0.01   9999   9999   0   0.000000;
106    1988    22050.0    0.33    1.16    2000    1.00    99    0.00    0    1    7   0.02   9999   9999   0   0.000000;
107    1985    22050.0    0.07    0.25    2000    1.00    99    0.00    0    1    7   0.00   9999   9999   0   0.000000;
107    2293    22050.0    0.27    0.95    2000    1.00    99    0.00    0    1    7   0.01   9999   9999   0   0.000000;
108    1990    22050.0    0.16    0.56    2000    1.00    99    0.00    0    1    7   -0.01   9999   9999   0   0.000000;
108    2294    22050.0    0.21    0.74    2000    1.00    99    0.00    0    1    7   -0.00   9999   9999   0   0.000000;
109    1962    22050.0    0.10    0.35    2000    1.00    99    0.00    0    1    7   0.07   9999   9999   0   0.000000;
109    2213    22050.0    0.08    0.28    2000    1.00    99    0.00    0    1    7   0.03   9999   9999   0   0.000000;
110    2287    22050.0    0.08    0.28    2000    1.00    99    0.00    0    1    7   0.01   9999   9999   0   0.000000;
111    1963    22050.0    0.24    0.85    2000    1.00    99    0.00    0    1    7   0.01   9999   9999   0   0.000000;
111    2108    22050.0    0.33    1.16    2000    1.00    99    0.00    0    1    7   -0.00   9999   9999   0   0.000000;
